name,layer,module_type,alpha,variance
model.model.layers.0.linear_attn.in_proj_qkvz,0,linear_attn,6.08145415777036,0.00039387791184708476
model.model.layers.0.linear_attn.in_proj_ba,0,linear_attn,3.398552280675469,0.00036259720218367875
model.model.layers.0.linear_attn.out_proj,0,linear_attn,6.766477291350042,0.0003942188050132245
model.model.layers.0.mlp.shared_expert.gate_proj,0,mlp.shared_expert,6.465149687209962,0.0003911725361831486
model.model.layers.0.mlp.shared_expert.up_proj,0,mlp.shared_expert,5.3612332557262,0.0003921382303815335
model.model.layers.0.mlp.shared_expert.down_proj,0,mlp.shared_expert,5.3787770609218715,0.0003950189857278019
model.model.layers.0.mlp.shared_expert_gate,0,other,,
model.model.layers.0.mlp.gate.weight,0,mlp.gate,6.478571362712948,0.0003929606464225799
model.model.layers.0.mlp.experts.gate_up_proj.expert_0.gate,0,mlp.experts.gate_up_proj.gate,4.930636141500892,0.00038490258157253265
model.model.layers.0.mlp.experts.gate_up_proj.expert_0.up,0,mlp.experts.gate_up_proj.up,5.1038221093682274,0.00039277676842175424
model.model.layers.0.mlp.experts.gate_up_proj.expert_1.gate,0,mlp.experts.gate_up_proj.gate,5.624439283274889,0.00039654961437918246
model.model.layers.0.mlp.experts.gate_up_proj.expert_1.up,0,mlp.experts.gate_up_proj.up,6.1932317309214415,0.0003925230703316629
model.model.layers.0.mlp.experts.gate_up_proj.expert_2.gate,0,mlp.experts.gate_up_proj.gate,5.986686488319349,0.00038855246384628117
model.model.layers.0.mlp.experts.gate_up_proj.expert_2.up,0,mlp.experts.gate_up_proj.up,5.415924687514904,0.00039105708128772676
model.model.layers.0.mlp.experts.gate_up_proj.expert_3.gate,0,mlp.experts.gate_up_proj.gate,6.210846322234066,0.0003913655236829072
model.model.layers.0.mlp.experts.gate_up_proj.expert_3.up,0,mlp.experts.gate_up_proj.up,5.243865988951976,0.00039176290738396347
model.model.layers.0.mlp.experts.gate_up_proj.expert_4.gate,0,mlp.experts.gate_up_proj.gate,5.362388576820318,0.0003992956189904362
model.model.layers.0.mlp.experts.gate_up_proj.expert_4.up,0,mlp.experts.gate_up_proj.up,5.658043949912665,0.00039281375939026475
model.model.layers.0.mlp.experts.gate_up_proj.expert_5.gate,0,mlp.experts.gate_up_proj.gate,4.802511125437237,0.000400062242988497
model.model.layers.0.mlp.experts.gate_up_proj.expert_5.up,0,mlp.experts.gate_up_proj.up,5.55087211131707,0.0003977539308834821
model.model.layers.0.mlp.experts.gate_up_proj.expert_6.gate,0,mlp.experts.gate_up_proj.gate,4.682841634097305,0.00039539040881209075
