name,bit_width
model.model.layers.0.linear_attn.in_proj_ba,4
model.model.layers.0.linear_attn.in_proj_qkvz,3
model.model.layers.0.linear_attn.out_proj,2
model.model.layers.0.mlp.experts.down_proj.expert_0,4
model.model.layers.0.mlp.experts.down_proj.expert_1,4
model.model.layers.0.mlp.experts.down_proj.expert_10,4
model.model.layers.0.mlp.experts.down_proj.expert_100,4
model.model.layers.0.mlp.experts.down_proj.expert_101,4
model.model.layers.0.mlp.experts.down_proj.expert_102,4
model.model.layers.0.mlp.experts.down_proj.expert_103,4
model.model.layers.0.mlp.experts.down_proj.expert_104,4
model.model.layers.0.mlp.experts.down_proj.expert_105,4
model.model.layers.0.mlp.experts.down_proj.expert_106,3
model.model.layers.0.mlp.experts.down_proj.expert_107,3
model.model.layers.0.mlp.experts.down_proj.expert_108,4
model.model.layers.0.mlp.experts.down_proj.expert_109,3
model.model.layers.0.mlp.experts.down_proj.expert_11,3
model.model.layers.0.mlp.experts.down_proj.expert_110,4
model.model.layers.0.mlp.experts.down_proj.expert_111,4
model.model.layers.0.mlp.experts.down_proj.expert_112,3
model.model.layers.0.mlp.experts.down_proj.expert_113,3
model.model.layers.0.mlp.experts.down_proj.expert_114,3
model.model.layers.0.mlp.experts.down_proj.expert_115,3
model.model.layers.0.mlp.experts.down_proj.expert_116,4
model.model.layers.0.mlp.experts.down_proj.expert_117,4
model.model.layers.0.mlp.experts.down_proj.expert_118,4
model.model.layers.0.mlp.experts.down_proj.expert_119,4
model.model.layers.0.mlp.experts.down_proj.expert_12,4
model.model.layers.0.mlp.experts.down_proj.expert_120,4
model.model.layers.0.mlp.experts.down_proj.expert_121,4
model.model.layers.0.mlp.experts.down_proj.expert_122,4
model.model.layers.0.mlp.experts.down_proj.expert_123,4
model.model.layers.0.mlp.experts.down_proj.expert_124,4
model.model.layers.0.mlp.experts.down_proj.expert_125,4
model.model.layers.0.mlp.experts.down_proj.expert_126,4
model.model.layers.0.mlp.experts.down_proj.expert_127,3
model.model.layers.0.mlp.experts.down_proj.expert_128,3
model.model.layers.0.mlp.experts.down_proj.expert_129,3
model.model.layers.0.mlp.experts.down_proj.expert_13,4
model.model.layers.0.mlp.experts.down_proj.expert_130,3
model.model.layers.0.mlp.experts.down_proj.expert_131,4
model.model.layers.0.mlp.experts.down_proj.expert_132,3
model.model.layers.0.mlp.experts.down_proj.expert_133,4
model.model.layers.0.mlp.experts.down_proj.expert_134,4
model.model.layers.0.mlp.experts.down_proj.expert_135,3
model.model.layers.0.mlp.experts.down_proj.expert_136,2
model.model.layers.0.mlp.experts.down_proj.expert_137,4
model.model.layers.0.mlp.experts.down_proj.expert_138,4
model.model.layers.0.mlp.experts.down_proj.expert_139,4
model.model.layers.0.mlp.experts.down_proj.expert_14,4
model.model.layers.0.mlp.experts.down_proj.expert_140,4
model.model.layers.0.mlp.experts.down_proj.expert_141,3
model.model.layers.0.mlp.experts.down_proj.expert_142,3
model.model.layers.0.mlp.experts.down_proj.expert_143,3
model.model.layers.0.mlp.experts.down_proj.expert_144,3
model.model.layers.0.mlp.experts.down_proj.expert_145,3
model.model.layers.0.mlp.experts.down_proj.expert_146,4
model.model.layers.0.mlp.experts.down_proj.expert_147,3
model.model.layers.0.mlp.experts.down_proj.expert_148,4
model.model.layers.0.mlp.experts.down_proj.expert_149,3
model.model.layers.0.mlp.experts.down_proj.expert_15,4
model.model.layers.0.mlp.experts.down_proj.expert_150,3
model.model.layers.0.mlp.experts.down_proj.expert_151,3
model.model.layers.0.mlp.experts.down_proj.expert_152,4
model.model.layers.0.mlp.experts.down_proj.expert_153,3
model.model.layers.0.mlp.experts.down_proj.expert_154,4
model.model.layers.0.mlp.experts.down_proj.expert_155,4
model.model.layers.0.mlp.experts.down_proj.expert_156,3
model.model.layers.0.mlp.experts.down_proj.expert_157,4
model.model.layers.0.mlp.experts.down_proj.expert_158,4
model.model.layers.0.mlp.experts.down_proj.expert_159,4
model.model.layers.0.mlp.experts.down_proj.expert_16,4
model.model.layers.0.mlp.experts.down_proj.expert_160,4
model.model.layers.0.mlp.experts.down_proj.expert_161,4
model.model.layers.0.mlp.experts.down_proj.expert_162,3
model.model.layers.0.mlp.experts.down_proj.expert_163,4
model.model.layers.0.mlp.experts.down_proj.expert_164,4
model.model.layers.0.mlp.experts.down_proj.expert_165,4
model.model.layers.0.mlp.experts.down_proj.expert_166,4
model.model.layers.0.mlp.experts.down_proj.expert_167,3
model.model.layers.0.mlp.experts.down_proj.expert_168,4
model.model.layers.0.mlp.experts.down_proj.expert_169,4
model.model.layers.0.mlp.experts.down_proj.expert_17,4
model.model.layers.0.mlp.experts.down_proj.expert_170,4
model.model.layers.0.mlp.experts.down_proj.expert_171,3
model.model.layers.0.mlp.experts.down_proj.expert_172,3
model.model.layers.0.mlp.experts.down_proj.expert_173,3
model.model.layers.0.mlp.experts.down_proj.expert_174,3
model.model.layers.0.mlp.experts.down_proj.expert_175,4
model.model.layers.0.mlp.experts.down_proj.expert_176,3
model.model.layers.0.mlp.experts.down_proj.expert_177,3
model.model.layers.0.mlp.experts.down_proj.expert_178,3
model.model.layers.0.mlp.experts.down_proj.expert_179,3
model.model.layers.0.mlp.experts.down_proj.expert_18,4
model.model.layers.0.mlp.experts.down_proj.expert_180,4
model.model.layers.0.mlp.experts.down_proj.expert_181,4
model.model.layers.0.mlp.experts.down_proj.expert_182,4
model.model.layers.0.mlp.experts.down_proj.expert_183,3
model.model.layers.0.mlp.experts.down_proj.expert_184,3
model.model.layers.0.mlp.experts.down_proj.expert_185,4
model.model.layers.0.mlp.experts.down_proj.expert_186,4
model.model.layers.0.mlp.experts.down_proj.expert_187,3
model.model.layers.0.mlp.experts.down_proj.expert_188,3
model.model.layers.0.mlp.experts.down_proj.expert_189,4
model.model.layers.0.mlp.experts.down_proj.expert_19,3
model.model.layers.0.mlp.experts.down_proj.expert_190,3
model.model.layers.0.mlp.experts.down_proj.expert_191,4
model.model.layers.0.mlp.experts.down_proj.expert_192,4
model.model.layers.0.mlp.experts.down_proj.expert_193,4
model.model.layers.0.mlp.experts.down_proj.expert_194,4
model.model.layers.0.mlp.experts.down_proj.expert_195,3
model.model.layers.0.mlp.experts.down_proj.expert_196,4
model.model.layers.0.mlp.experts.down_proj.expert_197,4
model.model.layers.0.mlp.experts.down_proj.expert_198,4
model.model.layers.0.mlp.experts.down_proj.expert_199,2
model.model.layers.0.mlp.experts.down_proj.expert_2,4
model.model.layers.0.mlp.experts.down_proj.expert_20,2
model.model.layers.0.mlp.experts.down_proj.expert_200,3
model.model.layers.0.mlp.experts.down_proj.expert_201,4
model.model.layers.0.mlp.experts.down_proj.expert_202,4
model.model.layers.0.mlp.experts.down_proj.expert_203,3
model.model.layers.0.mlp.experts.down_proj.expert_204,2
model.model.layers.0.mlp.experts.down_proj.expert_205,3
model.model.layers.0.mlp.experts.down_proj.expert_206,4
model.model.layers.0.mlp.experts.down_proj.expert_207,4
model.model.layers.0.mlp.experts.down_proj.expert_208,2
model.model.layers.0.mlp.experts.down_proj.expert_209,4
model.model.layers.0.mlp.experts.down_proj.expert_21,4
model.model.layers.0.mlp.experts.down_proj.expert_210,3
model.model.layers.0.mlp.experts.down_proj.expert_211,4
model.model.layers.0.mlp.experts.down_proj.expert_212,3
model.model.layers.0.mlp.experts.down_proj.expert_213,4
model.model.layers.0.mlp.experts.down_proj.expert_214,4
model.model.layers.0.mlp.experts.down_proj.expert_215,3
model.model.layers.0.mlp.experts.down_proj.expert_216,3
model.model.layers.0.mlp.experts.down_proj.expert_217,3
model.model.layers.0.mlp.experts.down_proj.expert_218,2
model.model.layers.0.mlp.experts.down_proj.expert_219,3
model.model.layers.0.mlp.experts.down_proj.expert_22,3
model.model.layers.0.mlp.experts.down_proj.expert_220,4
model.model.layers.0.mlp.experts.down_proj.expert_221,4
model.model.layers.0.mlp.experts.down_proj.expert_222,2
model.model.layers.0.mlp.experts.down_proj.expert_223,4
model.model.layers.0.mlp.experts.down_proj.expert_224,4
model.model.layers.0.mlp.experts.down_proj.expert_225,4
model.model.layers.0.mlp.experts.down_proj.expert_226,3
model.model.layers.0.mlp.experts.down_proj.expert_227,3
model.model.layers.0.mlp.experts.down_proj.expert_228,4
model.model.layers.0.mlp.experts.down_proj.expert_229,3
model.model.layers.0.mlp.experts.down_proj.expert_23,3
model.model.layers.0.mlp.experts.down_proj.expert_230,3
